propert_id,count
ff8081815ab805ff015ac2099fa44da7,259736061.28605345
ff8081815ab805ff015ac20d0c444f41,407916328.51960003
ff8081815ab805ff015ac21333385249,3120158.912797567
ff8081815ab805ff015ac213a3c25287,69236851.02958663
ff8081815ab805ff015ac213f35f52b4,27565610.648394123
ff8081815ab805ff015ac219c8b55634,16408378.527623745
ff8081815ab805ff015ac21a1b535687,20661543.567736153
ff8081815ab805ff015ac21fafb259fc,6884609.190949913
ff8081815ab805ff015ac21fb84a5a1f,305232728.06885797
ff8081815ab805ff015ac22164d35af0,92157755.20298369
ff8081815ab805ff015ac2221f1d5b70,20427334.83810089
ff8081815ab805ff015ac226aa035dd6,51321937.75824658
ff8081815ab805ff015ac228e0545f67,56624251.01550221
ff8081815ab805ff015ac22aa29a6085,41069566.567439
ff8081815ab805ff015ac22acb64609c,20869457.14409006
ff8081815ab805ff015ac22cc00b61cd,9892707.848087426
ff8081815ab805ff015ac22d06db61fb,3881743.7520095394
ff8081815ab805ff015ac230c2496516,32215587.73289208
ff8081815ab805ff015ac23223546621,7612724.103339726
ff8081815ab805ff015ac2325f4a6638,17587711.539580096
ff8081815ab805ff015ac2326907663d,39311593.46668703
ff8081815ab805ff015ac2339b746733,21832401.939036753
ff8081815ab805ff015ac2348b4067f4,143239373.88092163
ff8081815ab805ff015ac234c23d6805,30551172.309094798
ff8081815ab805ff015ac234edce680d,62242760.968720786
ff8081815ab805ff015ac23787596968,47776002.607785635
ff8081815ab805ff015ac2385dc769e7,85724019.75935358
ff8081815ab805ff015ac239e0d96a90,11396653.89984489
ff8081815ab805ff015ac23becc46b79,12180364.929042654
ff8081815ab805ff015ac241f3dc6ea4,5012844.343511707
ff8081815ab805ff015ac24221866ebc,30953398.421413224
ff8081815ab805ff015ac2464e2970cd,411680116.0138613
ff8081815ab805ff015ac24720197141,1315102.8774573402
ff8081815ab805ff015ac2484e6671f9,14621763.340021437
ff8081815ab805ff015ac2493ba8725c,112590638.15036726
ff8081815ab805ff015ac24c74317394,2033912.420049161
ff8081815ab805ff015ac24d08bd73c9,18314242.308640786
ff8081815ab805ff015ac2539c5e7656,41757083.300145976
ff8081815ab805ff015ac254a35676bf,40611353.950443596
ff8081815ab805ff015ac258422e77f5,7235728.803996787
ff8081815ab805ff015ac25b8e46793e,4067091.39926089
ff8081815ab805ff015ac262bd447c67,89008301.69400674
ff8081815ab805ff015ac262e5767c89,9465259.044205375
ff8081815ab805ff015ac264455b7d65,4409661.17333399
ff8081815ab805ff015ac26477137d8b,22206269.01347943
ff8081815ab805ff015ac264de8d7dc8,18741425.050444838
ff8081815ab805ff015ac265b6f97e28,6186432.448684293
ff8081815ab805ff015ac26834d37f32,43227940.132292956
ff8081815ab805ff015ac26b7af600ff,39635311.60850222
ff8081815ab805ff015ac26cab290196,188103910.59490573
ff8081815ab805ff015ac26df604024f,282078649.0249982
ff8081815ab805ff015ac27515620637,8350767.129708873
ff8081815ab805ff015ac27589210673,89344589.55402179
ff8081815ab805ff015ac275e6a3068f,412973568.6835676
ff8081815ab805ff015ac2780dcc07b5,27678870.699488137
ff8081815ab805ff015ac27a53010895,17896390.04403464
ff8081815ab805ff015ac27a85a508ae,683014.1588699808
ff8081815ab805ff015ac27bd4a0097a,119245775.82803558
ff8081815ab805ff015ac27eb0ea0a87,12926862.885031888
ff8081815ab805ff015ac28116400b95,129657667.99091972
ff8081815ab805ff015ac284d04b0cc1,35421930.337338164
ff8081815ab805ff015ac285a6400cf9,32636859.663893428
ff8081815ab805ff015ac286f0de0d94,2692747.034042984
ff8081815ab805ff015ac28730a10dc0,128233076.77632356
ff8081815ab805ff015ac28a824d0ec0,406308664.50751615
ff8081815ab805ff015ac28ae3cc0ef3,74225439.47576272
ff8081815ab805ff015ac28fde1a116e,180490562.18974993
ff8081815ab805ff015ac2935bfd12fc,5947931.722077564
ff8081815ab805ff015ac294745313fe,33544450.898898203
ff8081815ab805ff015ac294d670143a,129776780.61744508
ff8081815ab805ff015ac29ce9f2175a,77668799.1960874
ff8081815ab805ff015ac2a02f9a1864,3312195.313708918
ff8081815ab805ff015ac2a13b5a18ca,12390861.181521893
ff8081815ab805ff015ac2aa8d9a1c4d,279347548.36553806
ff8081815ab805ff015ac2adeb2b1f1b,66675380.912663266
ff8081815ab805ff015ac2b9982a23a3,113430922.11426651
ff8081815ab805ff015ac2ca7ae62b50,43413420.76207892
ff8081815ab805ff015ac2f6dd233c43,56113525.10511014
ff8081815ab805ff015ac37b70fa5a3b,85295043.5017494
ff8081815ab805ff015ac397cb465f53,161649013.33477855
ff8081815ab805ff015ac4c2b00777cb,135562185.85621086
ff8081815ab805ff015ac578a33c7a2e,6646138.3918499
ff8081815ab805ff015ac588286f7b70,345114992.5247923
ff8081815ab805ff015ac59e62007d62,2792141.419393028
ff8081815ab805ff015ac5a7c4d07f46,32900403.607006803
ff8081815ab805ff015ac5b1501e01a4,138226711.99858177
ff8081815ab805ff015ac5b418bd01f1,36606539.16860172
ff8081815ab805ff015ac5bac7dc0396,8700332.725633832
ff8081815ab805ff015ac5bf9ca7045f,201954014.61005023
ff8081815ab805ff015ac5c08716048b,6963436.02722799
ff8081815ab805ff015ac5c159d704a7,3396573.969532599
ff8081815ab805ff015ac5c49f7f05a0,24281863.309135515
ff8081815ab805ff015ac5c6ca430702,3323661.1058072285
ff8081815ab805ff015ac5c7f54a0761,20010201.718770724
ff8081815ab805ff015ac5c9fa55084c,31543308.233164188
ff8081815ab805ff015ac5ca68d90860,34938302.14330296
ff8081815ab805ff015ac5cceb6708c9,7537408.60831772
ff8081815ab805ff015ac5d19f9e0a17,7917765.293405488
ff8081815ab805ff015ac5d3c1230ae5,25824507.466329593
ff8081815ab805ff015ac5d578f60b5e,18250591.385646924
ff8081815ab805ff015ac5e083590da9,32312503.8932697
ff8081815ab805ff015ac5e112ef0dda,14267851.754660754
ff8081815ab805ff015ac5e2f47e0e30,24022531.96706837
ff8081815ab805ff015ac5e303830e33,5736870.11240839
ff8081815ab805ff015ac5e573400e8c,661950679.7968694
ff8081815ab805ff015ac5e7fcb50f43,9442936.340397233
ff8081815ab805ff015ac5e8a9f00f8a,40095887.72562181
ff8081815ab805ff015ac5ec79eb10cc,267393272.2968959
ff8081815ab805ff015ac5eca62a10d5,127028156.57244661
ff8081815ab805ff015ac5ed4bd510f0,194250413.83218822
ff8081815ab805ff015ac5f78103135d,2069513.0468922497
ff8081815ab805ff015ac5f78423135e,62053789.50607098
ff8081815ab805ff015ac5f88c01139f,18432315.2963751
ff8081815ab805ff015ac5f96a0013eb,5716530.421624282
ff8081815ab805ff015ac5fc675a14cd,175855656.87846315
ff8081815ab805ff015ac601538f1663,73550390.3439702
ff8081815ab805ff015ac603b1cb16c7,6088903.263389485
ff8081815ab805ff015ac6042efd16de,100874952.22857778
ff8081815ab805ff015ac6066d851823,82753321.0511438
ff8081815ab805ff015ac60b0bb31925,169291739.4306158
ff8081815ab805ff015ac60f73821a61,32949785.67212578
ff8081815ab805ff015ac60ff8931a8b,74151030.24435216
ff8081815ab805ff015ac6101e331aa2,17507761.97619719
ff8081815ab805ff015ac614714e1bdb,42066823.159405544
ff8081815ab805ff015ac616dc7f1c80,38095954.577402726
ff8081815ab805ff015ac617c4821cba,4425751.084901726
ff8081815ab805ff015ac6196dcd1d39,6906371.026304451
ff8081815ab805ff015ac61be3131de0,224244662.0463118
ff8081815ab805ff015ac61d890e1e8c,33785093.53795186
ff8081815ab805ff015ac61e06271ec1,48685024.24844454
ff8081815ab805ff015ac61e4a001ef1,937702.7929186125
ff8081815ab805ff015ac61f78cd1f55,112267768.45573339
ff8081815ab805ff015ac622891a202b,15366736.678417847
ff8081815ab805ff015ac6239cf82099,12817200.984377874
ff8081815ab805ff015ac62591fa22d5,45266696.43095344
ff8081815ab805ff015ac6261cdd24ec,55500121.689349666
ff8081815ab805ff015ac6271fd02855,486979382.22240883
ff8081815ab805ff015ac6285ae528b8,14458014.065337056
ff8081815ab805ff015ac62b60bf29da,221992463.1999984
ff8081815ab805ff015ac62dd9a72a9c,70846156.32937658
ff8081815ab805ff015ac62f68852b6c,90398164.3865604
ff8081815ab805ff015ac6301b7d2b8f,62036942.30147826
ff8081815ab805ff015ac630e8ba2bbf,1119962.5893913119
ff8081815ab805ff015ac633ce252c9f,43596864.85349206
ff8081815ab805ff015ac635ccf42d5f,159879057.94254935
ff8081815ab805ff015ac63e1b9b2ff3,521215485.8269805
ff8081815ab805ff015ac63e5f853007,176491576.77097377
ff8081815ab805ff015ac63fc97c30b0,77204711.71651973
ff8081815ab805ff015ac6419e5231b2,27805995.432422224
ff8081815ab805ff015ac6426d2031f1,6973994.02756908
